20,0.258,0.001
40,0.99,0.015
60,2.2,0.73
80,3.85,0.22
100,5.87,0.48
120,8.3,0.96
140,11,1.7
160,13.8,2.7
180,16.8,4.05
200,19.85,5.75
220,22.9,7.65
240,26.1,9.9
260,29.0,12.15
280,31.7,14.7
300,34.4,17
320,36.5,19.3
340,38.5,21.1
360,39.6,22.8
380,40.6,23.95
400,41,25
420,41.7,26.3
440,42.7,26.7
