"Piezo Voltage (V)";"Fast In 3 (V)";"Fast In 4 (V)";
41.975399;-0.0059180302;-0.0058497819;
41.975887;-0.0058311913;-0.0052140215;
41.976383;-0.005906289;-0.0044385837;
41.976868;-0.0059006624;-0.0041337907;
41.977364;-0.0058979718;-0.0048238565;
41.977852;-0.0058769346;-0.0045026736;
41.978348;-0.005886964;-0.0027443634;
41.978832;-0.005979185;-0.0045462158;
41.979328;-0.0057614753;-0.0015816966;
41.979816;-0.0058825607;-0.0041582524;
41.980312;-0.0057353009;-0.0036286556;
41.980797;-0.0057196454;-0.0042360406;
41.981293;-0.0057614753;-0.0010887923;
41.981781;-0.0056856438;-0.0013008757;
41.982277;-0.0059728245;-0.002086587;
41.982761;-0.0057761525;-0.001572401;
41.983257;-0.0057489998;-0.0016812559;
41.983746;-0.0058854963;-0.0024111944;
41.98423;-0.0056509082;-0.00061129907;
41.984726;-0.0057414165;-0.00097871444;
41.985214;-0.0057658781;-0.00079060363;
41.98571;-0.0057061915;-0.00023703433;
41.986195;-0.005668276;0.00056946947;
41.986691;-0.0057959664;0.00025684835;
41.987179;-0.0060420516;0.001229692;
41.987675;-0.0055851061;0.0017013145;
41.988159;-0.0057416614;0.00060836365;
41.988655;-0.0056672976;0.00088747218;
41.989143;-0.0056477282;0.0032910835;
41.989639;-0.0055398517;0.002802093;
41.990124;-0.0055195484;0.0023131028;
41.99062;-0.0056562899;0.0034476386;
41.991108;-0.0055944016;0.002689569;
41.991604;-0.0055185701;0.0026714674;
41.992088;-0.0055104978;0.0035242038;
41.992584;-0.0053321715;0.0040330081;
41.993073;-0.0053272792;0.0056166616;
41.993568;-0.0053854981;0.004618133;
41.994053;-0.0053671519;0.0062152408;
41.994549;-0.0052458216;0.0064760027;
41.995037;-0.0052487571;0.0058152908;
41.995533;-0.0052409293;0.0097991312;
41.996017;-0.0053700875;0.010621291;
41.996513;-0.0051672994;0.010165568;
41.997002;-0.0051819766;0.012512428;
41.997498;-0.0051425928;0.015159434;
41.997982;-0.0050858418;0.017072832;
41.998478;-0.0049801669;0.017033936;
41.998966;-0.0050117224;0.018826004;
41.999462;-0.00513501;0.018405508;
41.999947;-0.0051337867;0.020033682;
42.000443;-0.0051195989;0.021672374;
42.000931;-0.0052719954;0.022219094;
42.001427;-0.0051345206;0.023890076;
42.001911;-0.0048850109;0.023367573;
42.002407;-0.0052017905;0.02542505;
42.002895;-0.0052602543;0.026313012;
42.003391;-0.0051929844;0.027682869;
42.003876;-0.0050537968;0.029669652;
42.004372;-0.0049483669;0.030553456;
42.00486;-0.0051702349;0.033535589;
42.005356;-0.0046939645;0.031653743;
42.00584;-0.0044919103;0.037396386;
42.006336;-0.0043710694;0.038432341;
42.006824;-0.0044420087;0.036268454;
42.00732;-0.0035951429;0.040040456;
42.007805;-0.0039884876;0.045254722;
42.008301;-0.0042125573;0.047382891;
42.008789;-0.0032644202;0.051406115;
42.009285;-0.004167303;0.050792128;
42.009769;-0.003694213;0.051048484;
42.010265;-0.0041401507;0.05661549;
42.010754;-0.0035403485;0.058783289;
42.01125;-0.0040029204;0.057475075;
42.011734;-0.002951799;0.057486817;
42.01223;-0.0027857036;0.059273504;
42.012718;-0.0033001343;0.060296003;
42.013203;-0.0019182902;0.063946187;
42.013699;-0.0014527831;0.066348329;
42.014194;-0.00067245343;0.056791127;
42.014683;-0.0010298395;0.056478504;
42.015179;0.00070621062;0.011431708;
42.015663;-0.0039659832;-0.068608105;
42.016159;-0.0045310492;-0.071645029;
42.016647;-0.0043735155;-0.069572143;
42.017143;-0.0049109403;-0.06608928;
42.017628;-0.0047989055;-0.066136494;
42.018124;-0.0050545307;-0.064851515;
42.018612;-0.0050215074;-0.064694963;
42.019108;-0.0052609877;-0.065323628;
42.019592;-0.0050100102;-0.063283764;
42.020088;-0.0052291877;-0.063441537;
42.020576;-0.0053116237;-0.061167087;
42.021072;-0.0053270347;-0.05859689;
42.021557;-0.0053798719;-0.059823647;
42.022053;-0.0052996376;-0.056198906;
42.022541;-0.0051765949;-0.05820208;
42.023037;-0.0053840303;-0.057543322;
42.023521;-0.0054053124;-0.056449395;
42.024017;-0.0053872103;-0.054689616;
42.024506;-0.0054992451;-0.055494651;
42.025002;-0.0055016913;-0.055889711;
42.025486;-0.0051582484;-0.054508843;
42.025982;-0.0054997345;-0.053269122;
42.02647;-0.0054322202;-0.053996369;
42.026966;-0.005382563;-0.052536249;
42.027451;-0.0053387764;-0.053117462;
42.027939;-0.0055946461;-0.051822212;
42.028435;-0.0054153414;-0.052550681;
42.028931;-0.0055897539;-0.049129952;
42.029415;-0.0055968477;-0.05034741;
42.029911;-0.005525664;-0.049591053;
42.030399;-0.0053982181;-0.050737333;
42.030895;-0.0053947936;-0.050108176;
42.03138;-0.0053933258;-0.050215073;
42.031876;-0.0056244894;-0.048620414;
42.032364;-0.0055156345;-0.046938669;
42.03286;-0.0053859875;-0.047757648;
42.033344;-0.0055107423;-0.046280157;
42.03384;-0.0056359866;-0.044728305;
42.034328;-0.0055403411;-0.046509854;
42.034824;-0.0056374543;-0.046796788;
42.035309;-0.0056359866;-0.045685492;
42.035805;-0.0056359866;-0.046537004;
42.036293;-0.0055122101;-0.043650273;
42.036789;-0.0056257127;-0.043830313;
42.037273;-0.0055183256;-0.043654677;
42.037769;-0.005610791;-0.042173032;
42.038258;-0.0055427873;-0.043704823;
42.038754;-0.0055153901;-0.042847928;
42.039238;-0.0056858882;-0.041941866;
42.039734;-0.0055992939;-0.042679876;
42.040222;-0.0056636282;-0.04357053;
42.040718;-0.0056359866;-0.041948717;
42.041203;-0.0056359866;-0.04258937;
42.041698;-0.0056352527;-0.044429138;
42.042187;-0.0056115249;-0.042202875;
42.042683;-0.0054138736;-0.041575186;
42.043167;-0.0056288927;-0.043265246;
42.043663;-0.0056621605;-0.041883893;
42.044151;-0.0055995383;-0.041375577;
42.044636;-0.0057541365;-0.041886583;
42.045132;-0.0055139223;-0.042291671;
42.04562;-0.0056709666;-0.041294608;
42.046116;-0.0055090301;-0.04204803;
42.0466;-0.0056345188;-0.041297298;
42.047096;-0.0056359866;-0.04164001;
42.047585;-0.005525664;-0.041782621;
42.04808;-0.0056359866;-0.042219017;
42.048565;-0.0055200378;-0.042455561;
42.049061;-0.0053938152;-0.041664958;
42.049549;-0.0056472388;-0.038380235;
42.050045;-0.0055853506;-0.038951173;
42.050529;-0.0055738534;-0.040440895;
42.051025;-0.0055139223;-0.039730523;
42.051514;-0.0056438143;-0.038565412;
42.05201;-0.0055109868;-0.03879584;
42.052494;-0.0055122101;-0.038053427;
42.05299;-0.0055467011;-0.039195791;
42.053478;-0.0054011536;-0.038975634;
42.053974;-0.005624;-0.038608953;
42.054459;-0.0055195484;-0.038201176;
42.054955;-0.0055100084;-0.038800243;
42.055443;-0.0054234141;-0.039168637;
42.055939;-0.0055019362;-0.038582291;
42.056423;-0.0055146562;-0.03738391;
42.056919;-0.0055109868;-0.036818355;
42.057407;-0.0053781597;-0.037197512;
42.057903;-0.0054522785;-0.037619229;
42.058388;-0.0054336879;-0.037376814;
42.058884;-0.0055107423;-0.03769017;
42.059372;-0.0056061433;-0.038201421;
42.059868;-0.0054082475;-0.037742764;
42.060352;-0.005617151;-0.036293648;
42.060848;-0.0056134816;-0.03715666;
42.061337;-0.0054172985;-0.038428426;
42.061832;-0.005528844;-0.036831807;
42.062317;-0.0055149007;-0.036719527;
42.062813;-0.0053042853;-0.038377058;
42.063301;-0.005331927;-0.038005728;
42.063797;-0.0051995888;-0.038332045;
42.064281;-0.005385743;-0.038103573;
42.064777;-0.0054911729;-0.037808076;
42.065266;-0.0052612326;-0.036967572;
42.065762;-0.0054870145;-0.03794555;
42.066246;-0.005509764;-0.037083764;
42.066742;-0.0050256657;-0.038035814;
42.06723;-0.0054217014;-0.037861645;
42.067726;-0.0050704307;-0.038531899;
42.068211;-0.0053852536;-0.037163999;
42.068707;-0.0052634343;-0.037898827;
42.069195;-0.005351007;-0.038851615;
42.069691;-0.0052585416;-0.036982737;
42.070175;-0.0053607919;-0.038337916;
42.070663;-0.0051550684;-0.037568349;
42.071159;-0.0051499316;-0.038146872;
42.071655;-0.0051345206;-0.037510131;
42.07214;-0.0051447945;-0.039362129;
42.072636;-0.0051428378;-0.037102111;
42.073124;-0.0052086399;-0.038503278;
42.07362;-0.0051306067;-0.037748389;
42.074104;-0.0051978766;-0.039573725;
42.0746;-0.005030069;-0.038363602;
42.075089;-0.0052135321;-0.037142228;
42.075584;-0.0052017905;-0.036858961;
42.076069;-0.0048644631;-0.038798042;
42.076565;-0.0051328084;-0.039510369;
42.077053;-0.0052585416;-0.0393181;
42.077549;-0.0050107441;-0.038370207;
42.078033;-0.0049038464;-0.038534589;
42.078529;-0.0051279161;-0.039129499;
42.079018;-0.0051288945;-0.038352106;
42.079514;-0.0051758611;-0.038459003;
42.079998;-0.0051266928;-0.037424516;
42.080494;-0.0049141203;-0.040288743;
42.080982;-0.0051105483;-0.038290951;
