in s,C1 in V
-2.9917161E+01,5.40332E-02
-2.9916702E+01,5.22559E-02
-2.9916243E+01,7.35840E-02
-2.9915784E+01,5.58105E-02
-2.9915325E+01,6.46973E-02
-2.9914866E+01,5.04785E-02
-2.9914407E+01,5.93652E-02
-2.9913948E+01,6.64746E-02
-2.9913489E+01,5.93652E-02
-2.9913030E+01,7.71387E-02
-2.9912571E+01,5.04785E-02
-2.9912112E+01,6.46973E-02
-2.9911653E+01,3.44824E-02
-2.9911194E+01,5.93652E-02
-2.9910735E+01,5.93652E-02
-2.9910276E+01,5.22559E-02
-2.9909817E+01,6.64746E-02
-2.9909358E+01,5.75879E-02
-2.9908899E+01,3.62598E-02
-2.9908440E+01,6.29199E-02
-2.9907981E+01,5.93652E-02
-2.9907522E+01,6.82520E-02
-2.9907063E+01,6.46973E-02
-2.9906604E+01,6.11426E-02
-2.9906145E+01,5.22559E-02
-2.9905686E+01,6.11426E-02
-2.9905227E+01,6.64746E-02
-2.9904768E+01,5.04785E-02
-2.9904309E+01,4.69238E-02
-2.9903850E+01,5.75879E-02
-2.9903391E+01,5.40332E-02
-2.9902932E+01,5.22559E-02
-2.9902473E+01,5.58105E-02
-2.9902014E+01,5.93652E-02
-2.9901555E+01,5.40332E-02
-2.9901096E+01,5.93652E-02
-2.9900637E+01,7.18066E-02
-2.9900178E+01,5.58105E-02
-2.9899719E+01,5.75879E-02
-2.9899260E+01,5.58105E-02
-2.9898801E+01,5.40332E-02
-2.9898342E+01,5.04785E-02
-2.9897883E+01,5.04785E-02
-2.9897424E+01,5.93652E-02
-2.9896965E+01,4.33691E-02
-2.9896506E+01,5.93652E-02
-2.9896047E+01,5.58105E-02
-2.9895588E+01,4.87012E-02
-2.9895129E+01,4.51465E-02
-2.9894670E+01,7.18066E-02
-2.9894211E+01,5.93652E-02
-2.9893752E+01,8.24707E-02
-2.9893293E+01,5.75879E-02
-2.9892834E+01,5.22559E-02
-2.9892375E+01,5.93652E-02
-2.9891916E+01,5.75879E-02
-2.9891457E+01,5.93652E-02
-2.9890998E+01,4.51465E-02
-2.9890539E+01,6.29199E-02
-2.9890080E+01,7.53613E-02
-2.9889621E+01,6.64746E-02
-2.9889162E+01,6.82520E-02
-2.9888703E+01,4.87012E-02
-2.9888244E+01,5.58105E-02
-2.9887785E+01,6.11426E-02
-2.9887326E+01,5.40332E-02
-2.9886867E+01,6.82520E-02
-2.9886408E+01,5.58105E-02
-2.9885949E+01,4.69238E-02
-2.9885490E+01,7.00293E-02
-2.9885031E+01,6.64746E-02
-2.9884572E+01,4.87012E-02
-2.9884113E+01,4.51465E-02
-2.9883654E+01,5.40332E-02
-2.9883195E+01,5.04785E-02
-2.9882736E+01,5.22559E-02
-2.9882277E+01,6.46973E-02
-2.9881818E+01,6.46973E-02
-2.9881359E+01,7.18066E-02
-2.9880900E+01,4.87012E-02
-2.9880441E+01,5.93652E-02
-2.9879982E+01,5.04785E-02
-2.9879523E+01,6.46973E-02
-2.9879064E+01,5.58105E-02
-2.9878605E+01,4.51465E-02
-2.9878146E+01,6.11426E-02
-2.9877687E+01,6.64746E-02
-2.9877228E+01,6.11426E-02
-2.9876769E+01,5.58105E-02
-2.9876310E+01,5.58105E-02
-2.9875851E+01,7.00293E-02
-2.9875392E+01,5.58105E-02
-2.9874933E+01,6.29199E-02
-2.9874474E+01,5.04785E-02
-2.9874015E+01,5.22559E-02
-2.9873556E+01,5.75879E-02
-2.9873097E+01,5.58105E-02
-2.9872638E+01,5.75879E-02
-2.9872179E+01,5.22559E-02
-2.9871720E+01,6.64746E-02
-2.9871261E+01,5.22559E-02
-2.9870802E+01,5.04785E-02
-2.9870343E+01,5.75879E-02
-2.9869884E+01,7.35840E-02
-2.9869425E+01,5.75879E-02
-2.9868966E+01,6.11426E-02
-2.9868507E+01,4.87012E-02
-2.9868048E+01,6.11426E-02
-2.9867589E+01,5.75879E-02
-2.9867130E+01,5.04785E-02
-2.9866671E+01,6.64746E-02
-2.9866212E+01,5.58105E-02
-2.9865753E+01,4.15918E-02
-2.9865294E+01,4.87012E-02
-2.9864835E+01,4.87012E-02
-2.9864376E+01,6.29199E-02
-2.9863917E+01,6.46973E-02
-2.9863458E+01,5.58105E-02
-2.9862999E+01,5.22559E-02
-2.9862540E+01,5.22559E-02
-2.9862081E+01,5.75879E-02
-2.9861622E+01,5.40332E-02
-2.9861163E+01,5.75879E-02
-2.9860704E+01,6.29199E-02
-2.9860245E+01,4.87012E-02
-2.9859786E+01,5.75879E-02
-2.9859327E+01,5.22559E-02
-2.9858868E+01,5.40332E-02
-2.9858409E+01,6.29199E-02
-2.9857950E+01,5.75879E-02
-2.9857491E+01,7.35840E-02
-2.9857032E+01,5.22559E-02
-2.9856573E+01,5.93652E-02
-2.9856114E+01,5.75879E-02
-2.9855655E+01,6.64746E-02
-2.9855196E+01,4.51465E-02
-2.9854737E+01,6.29199E-02
-2.9854278E+01,6.29199E-02
-2.9853819E+01,4.87012E-02
-2.9853360E+01,5.58105E-02
-2.9852901E+01,5.04785E-02
-2.9852442E+01,5.22559E-02
-2.9851983E+01,5.22559E-02
-2.9851524E+01,5.93652E-02
-2.9851065E+01,5.58105E-02
-2.9850606E+01,6.46973E-02
-2.9850147E+01,7.00293E-02
-2.9849688E+01,7.35840E-02
-2.9849229E+01,5.75879E-02
-2.9848770E+01,5.40332E-02
-2.9848311E+01,6.29199E-02
-2.9847852E+01,4.33691E-02
-2.9847393E+01,5.75879E-02
-2.9846934E+01,6.29199E-02
-2.9846475E+01,5.93652E-02
-2.9846016E+01,5.58105E-02
-2.9845557E+01,6.64746E-02
-2.9845098E+01,5.04785E-02
-2.9844639E+01,5.75879E-02
-2.9844180E+01,5.04785E-02
-2.9843721E+01,5.40332E-02
-2.9843262E+01,6.82520E-02
-2.9842803E+01,6.29199E-02
-2.9842344E+01,6.46973E-02
-2.9841885E+01,6.29199E-02
-2.9841426E+01,6.29199E-02
-2.9840967E+01,7.35840E-02
-2.9840508E+01,6.64746E-02
-2.9840049E+01,5.93652E-02
-2.9839590E+01,7.35840E-02
-2.9839131E+01,6.46973E-02
-2.9838672E+01,6.29199E-02
-2.9838213E+01,5.22559E-02
-2.9837754E+01,5.93652E-02
-2.9837295E+01,5.40332E-02
-2.9836836E+01,5.93652E-02
-2.9836377E+01,6.11426E-02
-2.9835918E+01,6.29199E-02
-2.9835459E+01,5.22559E-02
