in s,C1 in V
-5.9835786E+00,5.90820E-02
-5.9834870E+00,6.39648E-02
-5.9833953E+00,5.90820E-02
-5.9833037E+00,5.90820E-02
-5.9832120E+00,5.51758E-02
-5.9831204E+00,6.59180E-02
-5.9830287E+00,6.39648E-02
-5.9829371E+00,6.20117E-02
-5.9828454E+00,6.39648E-02
-5.9827537E+00,6.29883E-02
-5.9826621E+00,6.39648E-02
-5.9825704E+00,6.10352E-02
-5.9824788E+00,5.90820E-02
-5.9823871E+00,6.10352E-02
-5.9822955E+00,5.61523E-02
-5.9822038E+00,5.90820E-02
-5.9821122E+00,5.81055E-02
-5.9820205E+00,5.90820E-02
-5.9819288E+00,6.20117E-02
-5.9818372E+00,5.51758E-02
-5.9817455E+00,5.12695E-02
-5.9816539E+00,5.71289E-02
-5.9815622E+00,5.90820E-02
-5.9814706E+00,5.22461E-02
-5.9813789E+00,6.49414E-02
-5.9812872E+00,6.88477E-02
-5.9811956E+00,5.22461E-02
-5.9811039E+00,5.51758E-02
-5.9810123E+00,6.00586E-02
-5.9809206E+00,6.59180E-02
-5.9808290E+00,6.10352E-02
-5.9807373E+00,6.20117E-02
-5.9806457E+00,6.10352E-02
-5.9805540E+00,6.39648E-02
-5.9804623E+00,6.39648E-02
-5.9803707E+00,5.32227E-02
-5.9802790E+00,5.61523E-02
-5.9801874E+00,5.51758E-02
-5.9800957E+00,5.51758E-02
-5.9800041E+00,5.51758E-02
-5.9799124E+00,6.00586E-02
-5.9798208E+00,6.88477E-02
-5.9797291E+00,6.20117E-02
-5.9796374E+00,6.49414E-02
-5.9795458E+00,6.00586E-02
-5.9794541E+00,5.51758E-02
-5.9793625E+00,7.17773E-02
-5.9792708E+00,5.90820E-02
-5.9791792E+00,6.00586E-02
-5.9790875E+00,6.00586E-02
-5.9789958E+00,6.10352E-02
-5.9789042E+00,5.51758E-02
-5.9788125E+00,6.20117E-02
-5.9787209E+00,5.81055E-02
-5.9786292E+00,6.00586E-02
-5.9785376E+00,6.49414E-02
-5.9784459E+00,5.61523E-02
-5.9783543E+00,6.00586E-02
-5.9782626E+00,5.32227E-02
-5.9781709E+00,6.20117E-02
-5.9780793E+00,5.51758E-02
-5.9779876E+00,5.32227E-02
-5.9778960E+00,5.90820E-02
-5.9778043E+00,5.81055E-02
-5.9777127E+00,6.39648E-02
-5.9776210E+00,6.00586E-02
-5.9775294E+00,6.00586E-02
-5.9774377E+00,5.81055E-02
-5.9773460E+00,5.51758E-02
-5.9772544E+00,5.61523E-02
-5.9771627E+00,6.20117E-02
-5.9770711E+00,5.41992E-02
-5.9769794E+00,6.00586E-02
-5.9768878E+00,6.39648E-02
-5.9767961E+00,6.29883E-02
-5.9767044E+00,5.90820E-02
-5.9766128E+00,5.90820E-02
-5.9765211E+00,6.49414E-02
-5.9764295E+00,5.90820E-02
-5.9763378E+00,5.51758E-02
-5.9762462E+00,5.51758E-02
-5.9761545E+00,6.00586E-02
-5.9760629E+00,6.10352E-02
-5.9759712E+00,7.27539E-02
-5.9758795E+00,6.10352E-02
-5.9757879E+00,5.81055E-02
-5.9756962E+00,6.20117E-02
-5.9756046E+00,6.00586E-02
-5.9755129E+00,6.49414E-02
-5.9754213E+00,5.90820E-02
-5.9753296E+00,5.90820E-02
-5.9752380E+00,5.81055E-02
-5.9751463E+00,5.32227E-02
-5.9750546E+00,6.59180E-02
-5.9749630E+00,6.29883E-02
-5.9748713E+00,5.51758E-02
-5.9747797E+00,6.29883E-02
-5.9746880E+00,6.88477E-02
-5.9745964E+00,5.41992E-02
-5.9745047E+00,6.59180E-02
-5.9744130E+00,6.10352E-02
-5.9743214E+00,6.49414E-02
-5.9742297E+00,6.20117E-02
-5.9741381E+00,5.61523E-02
-5.9740464E+00,6.39648E-02
-5.9739548E+00,6.59180E-02
-5.9738631E+00,6.10352E-02
-5.9737715E+00,5.81055E-02
-5.9736798E+00,6.10352E-02
-5.9735881E+00,6.20117E-02
-5.9734965E+00,6.59180E-02
-5.9734048E+00,6.59180E-02
-5.9733132E+00,5.90820E-02
-5.9732215E+00,5.81055E-02
-5.9731299E+00,6.29883E-02
-5.9730382E+00,6.39648E-02
-5.9729466E+00,5.71289E-02
-5.9728549E+00,6.39648E-02
-5.9727632E+00,5.81055E-02
-5.9726716E+00,6.39648E-02
-5.9725799E+00,5.41992E-02
-5.9724883E+00,5.32227E-02
-5.9723966E+00,6.00586E-02
-5.9723050E+00,5.22461E-02
-5.9722133E+00,5.81055E-02
-5.9721216E+00,6.10352E-02
-5.9720300E+00,6.49414E-02
-5.9719383E+00,6.29883E-02
-5.9718467E+00,6.00586E-02
-5.9717550E+00,6.00586E-02
-5.9716634E+00,6.20117E-02
-5.9715717E+00,5.90820E-02
-5.9714801E+00,5.81055E-02
-5.9713884E+00,5.81055E-02
-5.9712967E+00,5.90820E-02
-5.9712051E+00,6.00586E-02
-5.9711134E+00,6.78711E-02
-5.9710218E+00,6.39648E-02
-5.9709301E+00,6.98242E-02
-5.9708385E+00,5.61523E-02
-5.9707468E+00,6.00586E-02
-5.9706552E+00,6.29883E-02
-5.9705635E+00,6.88477E-02
-5.9704718E+00,6.29883E-02
-5.9703802E+00,6.10352E-02
-5.9702885E+00,5.90820E-02
-5.9701969E+00,6.10352E-02
-5.9701052E+00,6.49414E-02
-5.9700136E+00,5.90820E-02
-5.9699219E+00,6.39648E-02
-5.9698302E+00,5.51758E-02
-5.9697386E+00,6.68945E-02
-5.9696469E+00,5.51758E-02
-5.9695553E+00,6.29883E-02
-5.9694636E+00,5.61523E-02
-5.9693720E+00,5.51758E-02
-5.9692803E+00,6.10352E-02
-5.9691887E+00,6.00586E-02
-5.9690970E+00,6.20117E-02
-5.9690053E+00,6.29883E-02
-5.9689137E+00,6.29883E-02
-5.9688220E+00,5.22461E-02
-5.9687304E+00,6.00586E-02
-5.9686387E+00,6.20117E-02
-5.9685471E+00,6.29883E-02
-5.9684554E+00,6.29883E-02
