in s,C1 in V
-5.982816E+00,-5.95703E-03
-5.982720E+00,3.80859E-03
-5.982624E+00,-1.57227E-02
-5.982528E+00,-1.57227E-02
-5.982432E+00,-1.57227E-02
-5.982336E+00,-2.06055E-02
-5.982240E+00,-3.52539E-02
-5.982144E+00,-2.54883E-02
-5.982048E+00,-3.03711E-02
-5.981952E+00,-1.57227E-02
-5.981856E+00,-6.94336E-02
-5.981760E+00,-4.99023E-02
-5.981664E+00,-2.06055E-02
-5.981568E+00,1.35742E-02
-5.981472E+00,-2.06055E-02
-5.981376E+00,-3.03711E-02
-5.981280E+00,-5.95703E-03
-5.981184E+00,-2.06055E-02
-5.981088E+00,-3.03711E-02
-5.980992E+00,-3.03711E-02
-5.980896E+00,-3.52539E-02
-5.980800E+00,-2.06055E-02
-5.980704E+00,3.80859E-03
-5.980608E+00,-4.50195E-02
-5.980512E+00,-2.54883E-02
-5.980416E+00,-3.03711E-02
-5.980320E+00,-1.07422E-03
-5.980224E+00,-1.57227E-02
-5.980128E+00,2.33398E-02
-5.980032E+00,3.80859E-03
-5.979936E+00,1.35742E-02
-5.979840E+00,-5.95703E-03
-5.979744E+00,-4.01367E-02
-5.979648E+00,-2.06055E-02
-5.979552E+00,-5.95703E-03
-5.979456E+00,-2.06055E-02
-5.979360E+00,-2.06055E-02
-5.979264E+00,-1.07422E-03
-5.979168E+00,-1.07422E-03
-5.979072E+00,-2.06055E-02
-5.978976E+00,-5.95703E-03
-5.978880E+00,-1.07422E-03
-5.978784E+00,-4.01367E-02
-5.978688E+00,-4.01367E-02
-5.978592E+00,-1.57227E-02
-5.978496E+00,3.80859E-03
-5.978400E+00,-1.08398E-02
-5.978304E+00,3.80859E-03
-5.978208E+00,-3.03711E-02
-5.978112E+00,-3.52539E-02
-5.978016E+00,-2.54883E-02
-5.977920E+00,-2.06055E-02
-5.977824E+00,3.80859E-03
-5.977728E+00,-1.08398E-02
-5.977632E+00,-5.95703E-03
-5.977536E+00,-2.06055E-02
-5.977440E+00,-1.08398E-02
-5.977344E+00,-4.50195E-02
-5.977248E+00,1.35742E-02
-5.977152E+00,2.33398E-02
-5.977056E+00,-1.57227E-02
-5.976960E+00,-1.57227E-02
-5.976864E+00,-2.06055E-02
-5.976768E+00,-2.54883E-02
-5.976672E+00,-2.06055E-02
-5.976576E+00,-1.08398E-02
-5.976480E+00,-4.01367E-02
-5.976384E+00,-5.95703E-03
-5.976288E+00,8.69141E-03
-5.976192E+00,8.69141E-03
-5.976096E+00,-1.08398E-02
-5.976000E+00,-1.57227E-02
-5.975904E+00,-3.52539E-02
-5.975808E+00,-3.03711E-02
-5.975712E+00,-3.52539E-02
-5.975616E+00,-1.07422E-03
-5.975520E+00,-1.57227E-02
-5.975424E+00,-6.94336E-02
-5.975328E+00,-1.07422E-03
-5.975232E+00,8.69141E-03
-5.975136E+00,-2.06055E-02
-5.975040E+00,3.80859E-03
-5.974944E+00,-1.08398E-02
-5.974848E+00,-1.08398E-02
-5.974752E+00,2.33398E-02
-5.974656E+00,-2.06055E-02
-5.974560E+00,-3.52539E-02
-5.974464E+00,-5.95703E-03
-5.974368E+00,-2.54883E-02
-5.974272E+00,-2.06055E-02
-5.974176E+00,3.80859E-03
-5.974080E+00,-4.99023E-02
-5.973984E+00,-1.07422E-03
-5.973888E+00,-3.03711E-02
-5.973792E+00,-5.47852E-02
-5.973696E+00,-1.08398E-02
-5.973600E+00,3.80859E-03
-5.973504E+00,3.80859E-03
-5.973408E+00,-2.54883E-02
-5.973312E+00,1.35742E-02
-5.973216E+00,-2.54883E-02
-5.973120E+00,-1.08398E-02
-5.973024E+00,-2.06055E-02
-5.972928E+00,1.35742E-02
-5.972832E+00,-4.01367E-02
-5.972736E+00,-2.06055E-02
-5.972640E+00,-1.08398E-02
-5.972544E+00,1.35742E-02
-5.972448E+00,-2.54883E-02
-5.972352E+00,-3.03711E-02
-5.972256E+00,-2.06055E-02
-5.972160E+00,-3.03711E-02
-5.972064E+00,-5.95703E-03
-5.971968E+00,-1.08398E-02
-5.971872E+00,-4.99023E-02
-5.971776E+00,3.80859E-03
-5.971680E+00,-4.01367E-02
-5.971584E+00,-4.99023E-02
-5.971488E+00,-2.06055E-02
-5.971392E+00,1.35742E-02
-5.971296E+00,1.35742E-02
-5.971200E+00,-3.03711E-02
-5.971104E+00,-1.07422E-03
-5.971008E+00,-1.07422E-03
-5.970912E+00,-3.52539E-02
-5.970816E+00,-5.95703E-03
-5.970720E+00,-1.57227E-02
-5.970624E+00,-2.54883E-02
-5.970528E+00,-1.07422E-03
-5.970432E+00,8.69141E-03
-5.970336E+00,-4.01367E-02
-5.970240E+00,-1.07422E-03
-5.970144E+00,-2.06055E-02
-5.970048E+00,-4.50195E-02
-5.969952E+00,8.69141E-03
-5.969856E+00,-3.03711E-02
-5.969760E+00,3.80859E-03
-5.969664E+00,8.69141E-03
-5.969568E+00,1.84570E-02
-5.969472E+00,-2.06055E-02
-5.969376E+00,-4.50195E-02
-5.969280E+00,-3.03711E-02
-5.969184E+00,-1.07422E-03
-5.969088E+00,-1.08398E-02
-5.968992E+00,-4.50195E-02
-5.968896E+00,1.35742E-02
-5.968800E+00,-2.06055E-02
-5.968704E+00,-4.01367E-02
-5.968608E+00,-5.95703E-03
-5.968512E+00,2.33398E-02
-5.968416E+00,-4.99023E-02
-5.968320E+00,1.35742E-02
-5.968224E+00,-1.08398E-02
-5.968128E+00,-2.54883E-02
-5.968032E+00,-1.07422E-03
-5.967936E+00,2.82227E-02
-5.967840E+00,-5.95703E-03
-5.967744E+00,-3.52539E-02
-5.967648E+00,1.35742E-02
-5.967552E+00,-1.08398E-02
-5.967456E+00,-3.03711E-02
-5.967360E+00,-1.57227E-02
-5.967264E+00,-2.06055E-02
-5.967168E+00,-3.52539E-02
-5.967072E+00,-1.07422E-03
-5.966976E+00,3.80859E-03
-5.966880E+00,1.84570E-02
-5.966784E+00,2.33398E-02
-5.966688E+00,-3.03711E-02
-5.966592E+00,-5.95703E-03
-5.966496E+00,-5.96680E-02
-5.966400E+00,-4.50195E-02
-5.966304E+00,-5.95703E-03
-5.966208E+00,-1.08398E-02
-5.966112E+00,3.80859E-03
-5.966016E+00,-3.52539E-02
-5.965920E+00,-2.06055E-02
-5.965824E+00,-2.06055E-02
-5.965728E+00,-3.52539E-02
-5.965632E+00,-4.01367E-02
-5.965536E+00,-2.06055E-02
-5.965440E+00,-4.99023E-02
-5.965344E+00,1.35742E-02
-5.965248E+00,-4.01367E-02
-5.965152E+00,-2.54883E-02
-5.965056E+00,-2.54883E-02
-5.964960E+00,-1.08398E-02
-5.964864E+00,-4.50195E-02
-5.964768E+00,-5.47852E-02
-5.964672E+00,-1.08398E-02
-5.964576E+00,-1.57227E-02
-5.964480E+00,2.33398E-02
-5.964384E+00,-6.45508E-02
-5.964288E+00,-3.52539E-02
-5.964192E+00,3.80859E-03
-5.964096E+00,3.80859E-03
-5.964000E+00,-5.95703E-03
-5.963904E+00,8.69141E-03
-5.963808E+00,-5.95703E-03
-5.963712E+00,1.35742E-02
-5.963616E+00,-4.01367E-02
-5.963520E+00,-3.03711E-02
-5.963424E+00,8.69141E-03
-5.963328E+00,-2.54883E-02
-5.963232E+00,-3.03711E-02
-5.963136E+00,-5.96680E-02
-5.963040E+00,-4.01367E-02
-5.962944E+00,8.69141E-03
-5.962848E+00,-2.54883E-02
-5.962752E+00,-2.06055E-02
-5.962656E+00,-2.54883E-02
-5.962560E+00,-3.03711E-02
-5.962464E+00,-1.07422E-03
-5.962368E+00,-3.03711E-02
-5.962272E+00,1.35742E-02
-5.962176E+00,8.69141E-03
-5.962080E+00,3.80859E-03
-5.961984E+00,-5.95703E-03
-5.961888E+00,-1.07422E-03
-5.961792E+00,-1.07422E-03
-5.961696E+00,-3.03711E-02
-5.961600E+00,-2.06055E-02
-5.961504E+00,-1.07422E-03
-5.961408E+00,-2.06055E-02
-5.961312E+00,-1.57227E-02
-5.961216E+00,-2.54883E-02
-5.961120E+00,-4.01367E-02
-5.961024E+00,-4.01367E-02
-5.960928E+00,8.69141E-03
-5.960832E+00,-3.52539E-02
-5.960736E+00,-2.06055E-02
-5.960640E+00,-2.06055E-02
-5.960544E+00,1.84570E-02
-5.960448E+00,-1.08398E-02
-5.960352E+00,-1.08398E-02
-5.960256E+00,-3.52539E-02
-5.960160E+00,-3.03711E-02
-5.960064E+00,-1.08398E-02
-5.959968E+00,-3.03711E-02
-5.959872E+00,-1.08398E-02
-5.959776E+00,-5.47852E-02
-5.959680E+00,-2.06055E-02
-5.959584E+00,1.35742E-02
-5.959488E+00,-5.95703E-03
-5.959392E+00,-3.52539E-02
-5.959296E+00,-2.54883E-02
-5.959200E+00,-3.52539E-02
-5.959104E+00,-2.54883E-02
-5.959008E+00,-5.95703E-03
-5.958912E+00,-4.01367E-02
-5.958816E+00,-5.95703E-03
-5.958720E+00,-2.54883E-02
-5.958624E+00,-1.08398E-02
-5.958528E+00,-4.50195E-02
-5.958432E+00,-1.08398E-02
-5.958336E+00,-2.54883E-02
-5.958240E+00,-5.95703E-03
-5.958144E+00,-1.07422E-03
-5.958048E+00,-4.01367E-02
-5.957952E+00,1.35742E-02
-5.957856E+00,-2.54883E-02
-5.957760E+00,-2.54883E-02
-5.957664E+00,-4.01367E-02
-5.957568E+00,-4.01367E-02
-5.957472E+00,-4.01367E-02
-5.957376E+00,3.80859E-03
-5.957280E+00,-1.07422E-03
-5.957184E+00,-4.01367E-02
-5.957088E+00,-1.07422E-03
-5.956992E+00,8.69141E-03
-5.956896E+00,-1.08398E-02
-5.956800E+00,-5.95703E-03
-5.956704E+00,-4.01367E-02
-5.956608E+00,-3.03711E-02
-5.956512E+00,-1.57227E-02
-5.956416E+00,-4.50195E-02
-5.956320E+00,-1.07422E-03
-5.956224E+00,-3.03711E-02
-5.956128E+00,3.80859E-03
-5.956032E+00,-4.99023E-02
-5.955936E+00,8.69141E-03
-5.955840E+00,-3.52539E-02
-5.955744E+00,-5.95703E-03
-5.955648E+00,-1.07422E-03
-5.955552E+00,-1.07422E-03
-5.955456E+00,-4.01367E-02
-5.955360E+00,2.82227E-02
-5.955264E+00,-3.03711E-02
-5.955168E+00,-2.06055E-02
-5.955072E+00,-1.07422E-03
-5.954976E+00,-3.03711E-02
-5.954880E+00,-5.95703E-03
-5.954784E+00,8.69141E-03
-5.954688E+00,-1.08398E-02
-5.954592E+00,-1.08398E-02
-5.954496E+00,-4.01367E-02
-5.954400E+00,3.80859E-03
-5.954304E+00,-1.07422E-03
-5.954208E+00,-1.08398E-02
-5.954112E+00,3.80859E-03
-5.954016E+00,-6.94336E-02
-5.953920E+00,-2.06055E-02
-5.953824E+00,-1.07422E-03
-5.953728E+00,-4.01367E-02
-5.953632E+00,-2.06055E-02
-5.953536E+00,-2.54883E-02
-5.953440E+00,-3.03711E-02
-5.953344E+00,-3.03711E-02
-5.953248E+00,3.80859E-03
-5.953152E+00,-2.54883E-02
-5.953056E+00,2.33398E-02
-5.952960E+00,-1.57227E-02
-5.952864E+00,-5.95703E-03
-5.952768E+00,3.80859E-03
-5.952672E+00,8.69141E-03
-5.952576E+00,-2.06055E-02
-5.952480E+00,-1.07422E-03
-5.952384E+00,3.80859E-03
-5.952288E+00,-4.50195E-02
-5.952192E+00,-2.54883E-02
-5.952096E+00,-2.06055E-02
-5.952000E+00,-4.01367E-02
-5.951904E+00,8.69141E-03
-5.951808E+00,-2.06055E-02
-5.951712E+00,-5.95703E-03
-5.951616E+00,-3.03711E-02
-5.951520E+00,-2.06055E-02
-5.951424E+00,-5.47852E-02
-5.951328E+00,-3.03711E-02
-5.951232E+00,-1.07422E-03
-5.951136E+00,-3.52539E-02
-5.951040E+00,-4.50195E-02
-5.950944E+00,-5.95703E-03
-5.950848E+00,-2.54883E-02
-5.950752E+00,3.80859E-03
-5.950656E+00,-1.07422E-03
-5.950560E+00,-4.50195E-02
-5.950464E+00,-4.01367E-02
-5.950368E+00,-1.08398E-02
-5.950272E+00,2.33398E-02
-5.950176E+00,8.69141E-03
-5.950080E+00,-1.57227E-02
-5.949984E+00,8.69141E-03
-5.949888E+00,-4.01367E-02
-5.949792E+00,-4.99023E-02
-5.949696E+00,-4.01367E-02
-5.949600E+00,-4.01367E-02
-5.949504E+00,-3.03711E-02
-5.949408E+00,-2.54883E-02
-5.949312E+00,-2.54883E-02
-5.949216E+00,-1.07422E-03
-5.949120E+00,3.80859E-03
-5.949024E+00,-5.95703E-03
-5.948928E+00,3.80859E-03
-5.948832E+00,-2.54883E-02
-5.948736E+00,8.69141E-03
-5.948640E+00,-5.95703E-03
-5.948544E+00,-3.52539E-02
-5.948448E+00,1.35742E-02
-5.948352E+00,-2.54883E-02
-5.948256E+00,-5.95703E-03
-5.948160E+00,-3.52539E-02
-5.948064E+00,1.35742E-02
-5.947968E+00,-3.52539E-02
-5.947872E+00,-1.07422E-03
-5.947776E+00,1.35742E-02
-5.947680E+00,8.69141E-03
-5.947584E+00,-5.95703E-03
-5.947488E+00,-1.57227E-02
-5.947392E+00,-3.03711E-02
-5.947296E+00,-3.52539E-02
-5.947200E+00,-1.08398E-02
-5.947104E+00,-5.95703E-03
-5.947008E+00,-2.06055E-02
-5.946912E+00,-3.03711E-02
-5.946816E+00,-3.52539E-02
-5.946720E+00,1.35742E-02
-5.946624E+00,1.35742E-02
-5.946528E+00,-3.03711E-02
-5.946432E+00,-1.57227E-02
-5.946336E+00,-2.06055E-02
-5.946240E+00,-5.95703E-03
-5.946144E+00,-3.03711E-02
-5.946048E+00,-3.52539E-02
-5.945952E+00,-2.06055E-02
-5.945856E+00,-5.95703E-03
-5.945760E+00,-3.52539E-02
-5.945664E+00,-3.52539E-02
-5.945568E+00,-5.95703E-03
-5.945472E+00,3.80859E-03
-5.945376E+00,-4.50195E-02
-5.945280E+00,-1.57227E-02
-5.945184E+00,-2.06055E-02
-5.945088E+00,-3.03711E-02
-5.944992E+00,-1.57227E-02
-5.944896E+00,-2.06055E-02
-5.944800E+00,-1.07422E-03
-5.944704E+00,-2.06055E-02
-5.944608E+00,-4.01367E-02
-5.944512E+00,-5.95703E-03
-5.944416E+00,-3.52539E-02
-5.944320E+00,-1.08398E-02
-5.944224E+00,-1.57227E-02
-5.944128E+00,-2.54883E-02
-5.944032E+00,-3.03711E-02
-5.943936E+00,-3.03711E-02
-5.943840E+00,-1.57227E-02
-5.943744E+00,-4.50195E-02
-5.943648E+00,-1.07422E-03
-5.943552E+00,-2.54883E-02
-5.943456E+00,-1.07422E-03
-5.943360E+00,3.31055E-02
-5.943264E+00,-3.03711E-02
-5.943168E+00,1.35742E-02
-5.943072E+00,-1.07422E-03
-5.942976E+00,-3.03711E-02
-5.942880E+00,-5.95703E-03
-5.942784E+00,-1.57227E-02
-5.942688E+00,-3.03711E-02
-5.942592E+00,-1.07422E-03
-5.942496E+00,-5.95703E-03
-5.942400E+00,-2.06055E-02
-5.942304E+00,-5.95703E-03
-5.942208E+00,-4.50195E-02
-5.942112E+00,8.69141E-03
-5.942016E+00,-5.95703E-03
-5.941920E+00,-4.01367E-02
-5.941824E+00,-3.03711E-02
-5.941728E+00,-5.95703E-03
-5.941632E+00,3.80859E-03
-5.941536E+00,-2.06055E-02
-5.941440E+00,-2.06055E-02
-5.941344E+00,-4.50195E-02
-5.941248E+00,-3.03711E-02
-5.941152E+00,-2.06055E-02
-5.941056E+00,8.69141E-03
-5.940960E+00,-1.08398E-02
-5.940864E+00,-2.06055E-02
-5.940768E+00,3.80859E-03
-5.940672E+00,-3.03711E-02
-5.940576E+00,3.80859E-03
-5.940480E+00,-5.95703E-03
-5.940384E+00,1.84570E-02
-5.940288E+00,-1.08398E-02
-5.940192E+00,-5.96680E-02
-5.940096E+00,-3.52539E-02
-5.940000E+00,8.69141E-03
-5.939904E+00,-2.06055E-02
-5.939808E+00,-2.06055E-02
-5.939712E+00,-3.52539E-02
-5.939616E+00,-2.06055E-02
-5.939520E+00,-2.06055E-02
-5.939424E+00,-1.07422E-03
-5.939328E+00,2.33398E-02
-5.939232E+00,-1.07422E-03
-5.939136E+00,8.69141E-03
-5.939040E+00,3.80859E-03
-5.938944E+00,-5.95703E-03
-5.938848E+00,3.80859E-03
-5.938752E+00,1.84570E-02
-5.938656E+00,-4.01367E-02
-5.938560E+00,-3.03711E-02
-5.938464E+00,-1.07422E-03
-5.938368E+00,1.35742E-02
-5.938272E+00,-4.50195E-02
-5.938176E+00,3.80859E-03
-5.938080E+00,-1.07422E-03
-5.937984E+00,-6.45508E-02
-5.937888E+00,3.80859E-03
-5.937792E+00,-1.57227E-02
-5.937696E+00,-3.03711E-02
-5.937600E+00,-3.52539E-02
-5.937504E+00,-2.06055E-02
-5.937408E+00,-3.03711E-02
-5.937312E+00,-3.52539E-02
-5.937216E+00,-1.57227E-02
-5.937120E+00,-2.06055E-02
-5.937024E+00,3.80859E-03
-5.936928E+00,1.84570E-02
-5.936832E+00,8.69141E-03
-5.936736E+00,-4.01367E-02
-5.936640E+00,3.80859E-03
-5.936544E+00,-2.54883E-02
-5.936448E+00,-3.52539E-02
-5.936352E+00,3.80859E-03
-5.936256E+00,8.69141E-03
-5.936160E+00,-2.06055E-02
-5.936064E+00,-3.03711E-02
-5.935968E+00,-2.54883E-02
-5.935872E+00,-3.52539E-02
-5.935776E+00,-5.47852E-02
-5.935680E+00,-2.06055E-02
-5.935584E+00,-1.07422E-03
-5.935488E+00,3.80859E-03
-5.935392E+00,-2.54883E-02
-5.935296E+00,-2.06055E-02
-5.935200E+00,-1.57227E-02
-5.935104E+00,-1.07422E-03
-5.935008E+00,-1.57227E-02
-5.934912E+00,3.80859E-03
-5.934816E+00,-5.95703E-03
-5.934720E+00,-3.03711E-02
-5.934624E+00,-1.07422E-03
-5.934528E+00,-1.08398E-02
-5.934432E+00,-1.08398E-02
-5.934336E+00,-4.01367E-02
-5.934240E+00,1.35742E-02
-5.934144E+00,-1.08398E-02
-5.934048E+00,-3.03711E-02
-5.933952E+00,3.80859E-03
-5.933856E+00,-2.06055E-02
-5.933760E+00,-1.08398E-02
-5.933664E+00,8.69141E-03
-5.933568E+00,-4.99023E-02
-5.933472E+00,-4.01367E-02
-5.933376E+00,-4.01367E-02
-5.933280E+00,1.35742E-02
-5.933184E+00,-2.06055E-02
-5.933088E+00,-1.08398E-02
-5.932992E+00,1.35742E-02
-5.932896E+00,-1.57227E-02
-5.932800E+00,-2.54883E-02
-5.932704E+00,-3.52539E-02
-5.932608E+00,3.80859E-03
-5.932512E+00,3.80859E-03
-5.932416E+00,-3.03711E-02
