in s,C1 in V
-2.9917676E+01,6.54297E-02
-2.9917218E+01,6.34766E-02
-2.9916760E+01,6.34766E-02
-2.9916302E+01,6.73828E-02
-2.9915844E+01,6.93359E-02
-2.9915386E+01,8.10547E-02
-2.9914928E+01,6.15234E-02
-2.9914470E+01,6.34766E-02
-2.9914012E+01,6.15234E-02
-2.9913554E+01,5.95703E-02
-2.9913096E+01,7.91016E-02
-2.9912638E+01,6.73828E-02
-2.9912180E+01,5.76172E-02
-2.9911722E+01,6.34766E-02
-2.9911264E+01,6.34766E-02
-2.9910806E+01,7.12891E-02
-2.9910348E+01,7.32422E-02
-2.9909890E+01,6.73828E-02
-2.9909432E+01,5.37109E-02
-2.9908974E+01,7.12891E-02
-2.9908516E+01,7.32422E-02
-2.9908058E+01,6.73828E-02
-2.9907600E+01,5.56641E-02
-2.9907142E+01,6.73828E-02
-2.9906684E+01,5.56641E-02
-2.9906226E+01,7.51953E-02
-2.9905768E+01,6.34766E-02
-2.9905310E+01,5.76172E-02
-2.9904852E+01,6.15234E-02
-2.9904394E+01,6.93359E-02
-2.9903936E+01,5.76172E-02
-2.9903479E+01,7.71484E-02
-2.9903021E+01,6.73828E-02
-2.9902563E+01,5.76172E-02
-2.9902105E+01,7.91016E-02
-2.9901647E+01,6.54297E-02
-2.9901189E+01,7.12891E-02
-2.9900731E+01,5.17578E-02
-2.9900273E+01,7.32422E-02
-2.9899815E+01,5.56641E-02
-2.9899357E+01,4.58984E-02
-2.9898899E+01,6.15234E-02
-2.9898441E+01,6.15234E-02
-2.9897983E+01,7.51953E-02
-2.9897525E+01,6.73828E-02
-2.9897067E+01,4.39453E-02
-2.9896609E+01,6.15234E-02
-2.9896151E+01,5.95703E-02
-2.9895693E+01,6.34766E-02
-2.9895235E+01,6.73828E-02
-2.9894777E+01,6.15234E-02
-2.9894319E+01,6.73828E-02
-2.9893861E+01,6.15234E-02
-2.9893403E+01,5.37109E-02
-2.9892945E+01,5.37109E-02
-2.9892487E+01,5.76172E-02
-2.9892029E+01,6.54297E-02
-2.9891571E+01,6.54297E-02
-2.9891113E+01,7.71484E-02
-2.9890655E+01,5.95703E-02
-2.9890197E+01,7.32422E-02
-2.9889739E+01,5.76172E-02
-2.9889282E+01,6.73828E-02
-2.9888824E+01,6.93359E-02
-2.9888366E+01,8.10547E-02
-2.9887908E+01,5.56641E-02
-2.9887450E+01,5.76172E-02
-2.9886992E+01,8.30078E-02
-2.9886534E+01,6.15234E-02
-2.9886076E+01,6.73828E-02
-2.9885618E+01,6.15234E-02
-2.9885160E+01,6.54297E-02
-2.9884702E+01,7.51953E-02
-2.9884244E+01,6.15234E-02
-2.9883786E+01,7.32422E-02
-2.9883328E+01,5.95703E-02
-2.9882870E+01,6.93359E-02
-2.9882412E+01,5.95703E-02
-2.9881954E+01,5.95703E-02
-2.9881496E+01,4.98047E-02
-2.9881038E+01,6.93359E-02
-2.9880580E+01,5.95703E-02
-2.9880122E+01,7.32422E-02
-2.9879664E+01,7.71484E-02
-2.9879206E+01,6.34766E-02
-2.9878748E+01,5.76172E-02
-2.9878290E+01,6.54297E-02
-2.9877832E+01,5.95703E-02
-2.9877374E+01,7.71484E-02
-2.9876916E+01,5.37109E-02
-2.9876458E+01,5.56641E-02
-2.9876000E+01,5.56641E-02
-2.9875542E+01,5.76172E-02
-2.9875085E+01,7.32422E-02
-2.9874627E+01,7.32422E-02
-2.9874169E+01,6.34766E-02
-2.9873711E+01,6.15234E-02
-2.9873253E+01,6.93359E-02
-2.9872795E+01,6.54297E-02
-2.9872337E+01,7.12891E-02
-2.9871879E+01,7.12891E-02
-2.9871421E+01,6.73828E-02
-2.9870963E+01,7.71484E-02
-2.9870505E+01,6.73828E-02
-2.9870047E+01,8.30078E-02
-2.9869589E+01,5.95703E-02
-2.9869131E+01,5.56641E-02
-2.9868673E+01,6.15234E-02
-2.9868215E+01,5.95703E-02
-2.9867757E+01,6.93359E-02
-2.9867299E+01,7.71484E-02
-2.9866841E+01,5.17578E-02
-2.9866383E+01,5.76172E-02
-2.9865925E+01,5.56641E-02
-2.9865467E+01,6.73828E-02
-2.9865009E+01,7.12891E-02
-2.9864551E+01,5.76172E-02
-2.9864093E+01,6.93359E-02
-2.9863635E+01,6.34766E-02
-2.9863177E+01,5.76172E-02
-2.9862719E+01,4.98047E-02
-2.9862261E+01,5.95703E-02
-2.9861803E+01,5.37109E-02
-2.9861345E+01,6.34766E-02
-2.9860888E+01,8.49609E-02
-2.9860430E+01,6.15234E-02
-2.9859972E+01,5.76172E-02
-2.9859514E+01,6.34766E-02
-2.9859056E+01,6.54297E-02
-2.9858598E+01,5.76172E-02
-2.9858140E+01,6.73828E-02
-2.9857682E+01,6.34766E-02
-2.9857224E+01,6.73828E-02
-2.9856766E+01,5.37109E-02
-2.9856308E+01,6.73828E-02
-2.9855850E+01,6.54297E-02
-2.9855392E+01,7.71484E-02
-2.9854934E+01,7.71484E-02
-2.9854476E+01,7.32422E-02
-2.9854018E+01,5.56641E-02
-2.9853560E+01,5.76172E-02
-2.9853102E+01,7.32422E-02
-2.9852644E+01,6.34766E-02
-2.9852186E+01,6.73828E-02
-2.9851728E+01,6.73828E-02
-2.9851270E+01,7.32422E-02
-2.9850812E+01,5.95703E-02
-2.9850354E+01,5.95703E-02
-2.9849896E+01,6.73828E-02
-2.9849438E+01,5.37109E-02
-2.9848980E+01,6.73828E-02
-2.9848522E+01,5.95703E-02
-2.9848064E+01,6.54297E-02
-2.9847606E+01,5.95703E-02
-2.9847148E+01,6.54297E-02
-2.9846690E+01,5.95703E-02
-2.9846233E+01,5.76172E-02
-2.9845775E+01,8.10547E-02
-2.9845317E+01,6.15234E-02
-2.9844859E+01,5.76172E-02
-2.9844401E+01,6.73828E-02
-2.9843943E+01,7.32422E-02
-2.9843485E+01,6.15234E-02
-2.9843027E+01,6.73828E-02
-2.9842569E+01,6.34766E-02
-2.9842111E+01,6.93359E-02
-2.9841653E+01,5.17578E-02
-2.9841195E+01,6.15234E-02
-2.9840737E+01,5.95703E-02
-2.9840279E+01,6.73828E-02
-2.9839821E+01,6.54297E-02
-2.9839363E+01,5.56641E-02
-2.9838905E+01,6.73828E-02
-2.9838447E+01,6.34766E-02
-2.9837989E+01,5.95703E-02
-2.9837531E+01,5.95703E-02
-2.9837073E+01,4.98047E-02
-2.9836615E+01,5.76172E-02
-2.9836157E+01,5.17578E-02
-2.9835699E+01,7.51953E-02
-2.9835241E+01,6.15234E-02
-2.9834783E+01,5.37109E-02
-2.9834325E+01,6.15234E-02
-2.9833867E+01,5.76172E-02
-2.9833409E+01,6.34766E-02
-2.9832951E+01,7.32422E-02
-2.9832493E+01,6.34766E-02
-2.9832036E+01,6.15234E-02
-2.9831578E+01,5.17578E-02
-2.9831120E+01,8.10547E-02
-2.9830662E+01,7.91016E-02
-2.9830204E+01,6.34766E-02
-2.9829746E+01,8.30078E-02
-2.9829288E+01,6.93359E-02
-2.9828830E+01,5.76172E-02
-2.9828372E+01,5.56641E-02
-2.9827914E+01,5.76172E-02
-2.9827456E+01,5.76172E-02
-2.9826998E+01,4.78516E-02
-2.9826540E+01,6.73828E-02
-2.9826082E+01,6.34766E-02
-2.9825624E+01,6.93359E-02
-2.9825166E+01,6.73828E-02
-2.9824708E+01,6.93359E-02
-2.9824250E+01,6.15234E-02
-2.9823792E+01,6.34766E-02
-2.9823334E+01,6.15234E-02
-2.9822876E+01,6.73828E-02
-2.9822418E+01,6.73828E-02
-2.9821960E+01,5.17578E-02
-2.9821502E+01,5.17578E-02
-2.9821044E+01,5.95703E-02
-2.9820586E+01,6.73828E-02
-2.9820128E+01,6.54297E-02
-2.9819670E+01,6.34766E-02
-2.9819212E+01,5.95703E-02
-2.9818754E+01,5.37109E-02
-2.9818296E+01,5.37109E-02
-2.9817839E+01,7.51953E-02
-2.9817381E+01,6.34766E-02
-2.9816923E+01,6.73828E-02
-2.9816465E+01,6.34766E-02
-2.9816007E+01,6.34766E-02
-2.9815549E+01,7.32422E-02
-2.9815091E+01,6.34766E-02
-2.9814633E+01,5.76172E-02
-2.9814175E+01,5.37109E-02
-2.9813717E+01,5.17578E-02
-2.9813259E+01,6.15234E-02
-2.9812801E+01,7.12891E-02
-2.9812343E+01,6.34766E-02
-2.9811885E+01,5.76172E-02
-2.9811427E+01,7.51953E-02
-2.9810969E+01,6.54297E-02
-2.9810511E+01,6.34766E-02
-2.9810053E+01,6.54297E-02
-2.9809595E+01,7.51953E-02
-2.9809137E+01,5.76172E-02
-2.9808679E+01,5.76172E-02
-2.9808221E+01,6.34766E-02
-2.9807763E+01,6.15234E-02
-2.9807305E+01,7.12891E-02
-2.9806847E+01,5.56641E-02
-2.9806389E+01,7.71484E-02
-2.9805931E+01,7.12891E-02
-2.9805473E+01,5.37109E-02
-2.9805015E+01,6.34766E-02
-2.9804557E+01,6.54297E-02
-2.9804099E+01,5.37109E-02
-2.9803642E+01,5.56641E-02
-2.9803184E+01,4.78516E-02
-2.9802726E+01,7.71484E-02
-2.9802268E+01,6.15234E-02
-2.9801810E+01,6.73828E-02
-2.9801352E+01,5.95703E-02
-2.9800894E+01,6.93359E-02
-2.9800436E+01,6.15234E-02
-2.9799978E+01,5.95703E-02
-2.9799520E+01,5.76172E-02
-2.9799062E+01,4.98047E-02
-2.9798604E+01,5.76172E-02
-2.9798146E+01,4.98047E-02
-2.9797688E+01,5.37109E-02
-2.9797230E+01,6.34766E-02
-2.9796772E+01,7.12891E-02
-2.9796314E+01,4.78516E-02
-2.9795856E+01,6.15234E-02
-2.9795398E+01,6.34766E-02
-2.9794940E+01,6.54297E-02
-2.9794482E+01,6.93359E-02
-2.9794024E+01,7.51953E-02
-2.9793566E+01,7.51953E-02
-2.9793108E+01,5.37109E-02
-2.9792650E+01,4.98047E-02
-2.9792192E+01,4.78516E-02
-2.9791734E+01,5.95703E-02
-2.9791276E+01,4.98047E-02
-2.9790818E+01,5.56641E-02
-2.9790360E+01,5.56641E-02
-2.9789902E+01,6.34766E-02
-2.9789444E+01,5.76172E-02
-2.9788987E+01,8.30078E-02
-2.9788529E+01,6.73828E-02
-2.9788071E+01,6.15234E-02
-2.9787613E+01,5.56641E-02
-2.9787155E+01,6.54297E-02
-2.9786697E+01,5.56641E-02
-2.9786239E+01,6.54297E-02
-2.9785781E+01,6.73828E-02
-2.9785323E+01,7.12891E-02
-2.9784865E+01,6.15234E-02
-2.9784407E+01,7.71484E-02
-2.9783949E+01,6.73828E-02
-2.9783491E+01,5.95703E-02
-2.9783033E+01,6.34766E-02
-2.9782575E+01,4.78516E-02
-2.9782117E+01,7.51953E-02
-2.9781659E+01,7.32422E-02
-2.9781201E+01,5.37109E-02
-2.9780743E+01,6.34766E-02
-2.9780285E+01,7.32422E-02
-2.9779827E+01,4.78516E-02
-2.9779369E+01,5.76172E-02
-2.9778911E+01,5.56641E-02
-2.9778453E+01,6.15234E-02
-2.9777995E+01,7.71484E-02
-2.9777537E+01,6.93359E-02
-2.9777079E+01,5.37109E-02
-2.9776621E+01,6.15234E-02
-2.9776163E+01,5.76172E-02
-2.9775705E+01,6.34766E-02
-2.9775247E+01,5.17578E-02
-2.9774790E+01,5.56641E-02
-2.9774332E+01,5.76172E-02
-2.9773874E+01,5.17578E-02
-2.9773416E+01,6.54297E-02
-2.9772958E+01,7.32422E-02
-2.9772500E+01,6.34766E-02
-2.9772042E+01,5.37109E-02
-2.9771584E+01,4.98047E-02
-2.9771126E+01,6.15234E-02
-2.9770668E+01,5.76172E-02
-2.9770210E+01,4.58984E-02
-2.9769752E+01,6.34766E-02
-2.9769294E+01,6.34766E-02
-2.9768836E+01,4.98047E-02
-2.9768378E+01,6.54297E-02
-2.9767920E+01,6.34766E-02
-2.9767462E+01,5.56641E-02
-2.9767004E+01,7.12891E-02
-2.9766546E+01,5.95703E-02
-2.9766088E+01,6.54297E-02
-2.9765630E+01,5.37109E-02
-2.9765172E+01,5.17578E-02
-2.9764714E+01,6.15234E-02
-2.9764256E+01,8.30078E-02
-2.9763798E+01,5.17578E-02
-2.9763340E+01,5.76172E-02
-2.9762882E+01,4.98047E-02
-2.9762424E+01,6.15234E-02
-2.9761966E+01,6.15234E-02
-2.9761508E+01,5.37109E-02
-2.9761050E+01,5.17578E-02
-2.9760593E+01,6.15234E-02
-2.9760135E+01,5.95703E-02
-2.9759677E+01,5.95703E-02
-2.9759219E+01,6.34766E-02
-2.9758761E+01,4.98047E-02
-2.9758303E+01,4.98047E-02
-2.9757845E+01,5.76172E-02
-2.9757387E+01,6.54297E-02
-2.9756929E+01,7.32422E-02
-2.9756471E+01,5.17578E-02
-2.9756013E+01,7.32422E-02
-2.9755555E+01,6.73828E-02
-2.9755097E+01,8.10547E-02
-2.9754639E+01,6.34766E-02
-2.9754181E+01,6.73828E-02
-2.9753723E+01,6.54297E-02
-2.9753265E+01,6.54297E-02
-2.9752807E+01,5.76172E-02
-2.9752349E+01,5.56641E-02
-2.9751891E+01,5.95703E-02
-2.9751433E+01,6.93359E-02
-2.9750975E+01,6.54297E-02
-2.9750517E+01,5.56641E-02
-2.9750059E+01,7.12891E-02
-2.9749601E+01,6.73828E-02
-2.9749143E+01,6.73828E-02
-2.9748685E+01,7.32422E-02
-2.9748227E+01,6.93359E-02
-2.9747769E+01,6.93359E-02
-2.9747311E+01,6.73828E-02
-2.9746853E+01,6.54297E-02
-2.9746396E+01,5.17578E-02
-2.9745938E+01,6.34766E-02
-2.9745480E+01,5.76172E-02
-2.9745022E+01,7.12891E-02
-2.9744564E+01,5.95703E-02
-2.9744106E+01,5.56641E-02
-2.9743648E+01,6.73828E-02
-2.9743190E+01,8.10547E-02
-2.9742732E+01,6.34766E-02
-2.9742274E+01,6.15234E-02
-2.9741816E+01,7.51953E-02
-2.9741358E+01,5.17578E-02
-2.9740900E+01,5.76172E-02
-2.9740442E+01,5.17578E-02
-2.9739984E+01,8.30078E-02
-2.9739526E+01,5.95703E-02
-2.9739068E+01,6.34766E-02
-2.9738610E+01,6.73828E-02
-2.9738152E+01,7.71484E-02
-2.9737694E+01,6.34766E-02
-2.9737236E+01,6.73828E-02
-2.9736778E+01,7.12891E-02
-2.9736320E+01,6.34766E-02
-2.9735862E+01,6.73828E-02
-2.9735404E+01,5.76172E-02
-2.9734946E+01,6.15234E-02
-2.9734488E+01,4.78516E-02
-2.9734030E+01,6.34766E-02
-2.9733572E+01,6.73828E-02
-2.9733114E+01,7.12891E-02
-2.9732656E+01,4.78516E-02
-2.9732198E+01,8.10547E-02
-2.9731741E+01,7.51953E-02
-2.9731283E+01,7.32422E-02
-2.9730825E+01,5.56641E-02
-2.9730367E+01,5.95703E-02
-2.9729909E+01,5.37109E-02
-2.9729451E+01,6.15234E-02
-2.9728993E+01,5.56641E-02
-2.9728535E+01,6.73828E-02
-2.9728077E+01,4.78516E-02
-2.9727619E+01,8.10547E-02
-2.9727161E+01,6.15234E-02
-2.9726703E+01,5.76172E-02
-2.9726245E+01,7.71484E-02
-2.9725787E+01,5.76172E-02
-2.9725329E+01,5.37109E-02
-2.9724871E+01,6.34766E-02
-2.9724413E+01,5.37109E-02
-2.9723955E+01,6.34766E-02
-2.9723497E+01,5.37109E-02
-2.9723039E+01,5.76172E-02
-2.9722581E+01,6.34766E-02
-2.9722123E+01,7.32422E-02
-2.9721665E+01,6.15234E-02
-2.9721207E+01,6.54297E-02
-2.9720749E+01,4.98047E-02
-2.9720291E+01,4.58984E-02
-2.9719833E+01,6.15234E-02
-2.9719375E+01,4.58984E-02
-2.9718917E+01,4.98047E-02
-2.9718459E+01,5.56641E-02
-2.9718001E+01,5.76172E-02
-2.9717544E+01,4.39453E-02
-2.9717086E+01,5.37109E-02
-2.9716628E+01,6.73828E-02
-2.9716170E+01,6.15234E-02
-2.9715712E+01,8.10547E-02
-2.9715254E+01,6.73828E-02
-2.9714796E+01,6.54297E-02
-2.9714338E+01,5.17578E-02
-2.9713880E+01,6.73828E-02
-2.9713422E+01,7.12891E-02
-2.9712964E+01,6.73828E-02
-2.9712506E+01,6.73828E-02
-2.9712048E+01,7.71484E-02
-2.9711590E+01,6.15234E-02
-2.9711132E+01,6.34766E-02
-2.9710674E+01,6.73828E-02
-2.9710216E+01,5.76172E-02
-2.9709758E+01,7.51953E-02
-2.9709300E+01,6.73828E-02
-2.9708842E+01,6.34766E-02
-2.9708384E+01,4.98047E-02
-2.9707926E+01,6.15234E-02
-2.9707468E+01,5.56641E-02
-2.9707010E+01,6.73828E-02
